fouc,Fuck off you cunt
bffae,Best Friends Forever And Ever
jtwii,just the way it is.
enuff,enough
bffaa,Best Friends Forever And Always
ulbom,you looked better on myspace
pb,peanut butter
gtha,go the hell away
gthb,go to hell bitch
stsp,Same Time Same Place
gtho,get the hell out
appt,appointment
vag,vagina
gl&hf,good luck and have fun
gthu,grow the heck up
rtfmfm,read the fucking manual fucking moron
ttytm,talk to you tomorrow
tg,thank god
4lyfe,for life
noaa,National Oceanic and Atmospheric Administration
dlibu,Dont let it bother you
yru,why are you?
pg,page
lolio,laugh out loud I own
hy,hell yeah
kmao,kick my ass off
re/rehi,hello again
kthxmn,Ok Thanks Man
gaoep,generally accepted office etiquette principles
bur,pussy
2b4u,too bad for you
isb,I'm so bored.
hv,have
ead,eat a dick
grats,congratulations
hu,Hey you
hj,hand job
ygtbsm,You've got to be shitting me
ho,hold on
hl,Half-Life
swp,sorry wrong person
hb,hurry back
hc,how come
c.y.a,cover your ass
n/c,no comment
funner,more fun
hg,HockeyGod
kmswl,killing myself with laughter
celly,cell phone
ffxi,Final Fantasy 11
evercrack,Everquest
bbbj,Bare Back Blow Job
tomoz,tomorrow
gtas,go take a shit
dmi,don't mention it
wudev,Whatever
bck,back
whatevs,whatever
dmn,damn
c 2 c,cam to cam (webcams)
byob,Bring your own Beer
byoc,bring our own computer
ttyna,talk to you never again
dmu,don't mess up
jumping the couch,acting strange
arnd,around
wtmi,way too much information
dmy,don't mess yourself
byoh,bring your own high
tgis,thank god it's saturday
siol,Shout It Out Loud
vfe,Virgins 4 ever
cmon,Come on
sool,shit out of luck
tbvh,to be very honest
lfr,Laughing for real
ilcul8r,I'll see you later
imao,in my arrogant opinion
pix,pictures
u'r,you're
ihiwydt,I hate it when you do that
inh,I need help
ilyal,I like you a lot
myn,mine
nrg,energy
pir,parents in room
4q,fuck you
haxors,hackers
nrn,No Response Necessary
4n,Phone
hpy,happy
31ee7,elite
g@y,gay
tyfn,thank you for nothing
posmbri,parent over shoulder might be reading it
whaddya,what do you
10tacle,Tentacle
oaw,on a website
sicl,sitting in chair laughing
poms,parent over my shoulder
4m,form
dwbi,Don't worry about it.
dwbh,"don't worry, be happy"
chohw,Come Hell or high water
pitr,parent in the room
hpb,high ping bastard
igalboc,I've got a lovely bunch of cocnuts
wiyp,what is your problem
ymmv,your mileage may vary
troll,person who diliberately stirs up trouble
pcm,please call me
ytis,You think I'm special?
lmtfa,leave me the fuck alone
wtfbs,What the fuck bull shit
foocl,falls out of chair laughing
ifhu,I fucking hate you
witfp,What is the fucking point
ionno,I don't know
iavb,i am very bored
kots,keep on talking shit
dylm,do you love me
wgac,who gives a crap
8008,boob
dylh,do you like him
kinda,kind of
m.o,makeout
eedyat,idiot
foia,freedom of information act
eoc,end of conversation
eob,End of Business
bch,bitch
eof,end of file
hng,horny net geek
eod,End of day
4u,for you
l8rz,later
kotl,kiss on the lips
eom,end of message
cre8or,creator
eos,end of story
bwoc,Big Woman On Campus
eot,end of transmission
mmorpg,massively multiplayer online role playing game
bfitww,best friend in the whole world
